topic,option
Objects & Classes,Local variables themselves are stored on the heap when in fact only the objects they reference are stored on the heap
Misc,"Logical operators like '&&' and '||' work like arithmetic operators, without understanding their short-circuit behavior"
Control Flow,"Making a method static will always resolve compilation errors, but it can introduce additional errors if not used correctly"
Loops,"Making fields protected is always necessary for child classes to access them, not realizing public methods can also provide access"
Objects & Classes,"Making instance variables public is a good solution because it's simple, not realizing it can lead to tight coupling between classes"
Control Flow,"Managing multiple JDKs is the same across all operating systems, not understanding that the process can vary significantly between Linux, Windows, and macOS"
Methods,"Method overloading is inherently confusing and should be avoided, rather than understanding it as a useful tool when used correctly"
Objects & Classes,"Object-oriented programming (OOP) is the same as object-oriented analysis and design (OOAD), not realizing that OOP is the implementation phase following OOAD"
Methods,"Objects in Java are only collections of data, not understanding that they also provide methods"
Misc,"Once a variable is declared, it must always be used"
Methods,"Once the limit of an array is reached, calling a method like add() will automatically handle the situation, rather than requiring explicit logic to manage it"
Methods,"Overloaded methods must fulfill the polymorphism contract of their superclass, which is not true"
Methods,Overloading and overriding are the same concept due to the incorrect use of terminology in the text
Control Flow,"Overloading means the methods perform the same function, rather than understanding that they perform similar functions with different parameters"
Control Flow,"Overloading requires methods to have the exact same name and parameters, rather than understanding that the parameters must differ in type or number"
Data Types,"Overriding a method involves changing the parameter list or return type, when it actually requires the same method signature"
Methods,Overriding methods in subclasses automatically handles all data fields from the superclass without needing to explicitly call the superclass methods
Objects & Classes,"Panels can be displayed independently like JFrame objects, not understanding that panels need to be added to a container like a JFrame"
Loops,"Passing 0 for both rows and columns in the GridLayout constructor is valid, but it will actually cause an error"
JShell & Tools,"Placing an app on Google Play guarantees success, not considering the competitive nature of the app market and the importance of marketing and user engagement"
Data Types,"Placing components directly into a BorderLayout or GridLayout will prevent them from being resized, not realizing they need to use a JPanel to control resizing"
Control Flow,Polymorphism allows calling subclass-specific methods without casting when the reference type is a superclass or Object
Data Types,"Polymorphism only allows treating an object as its superclass type, not realizing it can also be treated as its own type"
Control Flow,"Polymorphism only applies to methods with the same name, not realizing it also involves different implementations based on the object type"
Objects & Classes,"Private members are inherited by subclasses, when in fact they are not"
Objects & Classes,Private members of a parent class can be accessed directly in a child class
Control Flow,"Protected access modifier allows access from any class, rather than understanding it allows access only within its package and by subclasses"
Data Types,"Public methods in a class are automatically available to all objects of that class, without considering the reference type constraints"
Objects & Classes,"Records can only be implemented as classes in Java, not realizing that records can also be implemented using other data structures"
Loops,"Recursion is always less efficient than iteration, not realizing that recursion can be optimized in certain cases"
Loops,"Registering an action listener automatically creates the necessary methods for handling events, without needing to implement them"
Loops,Registering an action listener with a JRadioButton is optional for responding to events
GUI,"Registering the action listener with the JButton component is optional, when it is necessary to handle action events"
GUI,"Resizing a window with FlowLayout will always keep the components in the same order and alignment, not realizing that the layout manager repositions components according to its rules"
Exception Handling,"Runtime errors always cause programs to terminate immediately, not realizing that nonfatal runtime errors can allow programs to run to completion with incorrect results"
Control Flow,"Saving a file with a different name than the class name is acceptable, not realizing that the file name must match the public class name"
Misc,"Scaffolding code is always unnecessary and should be removed, not understanding its role in development and testing"
Loops,"Setting a JTextField to read-only using setEditable(false) makes it impossible for the application to change the text, rather than just preventing user edits"
Loops,"Setting a reference to null immediately makes the object eligible for garbage collection, not realizing that it only becomes eligible when there are no more references to it"
Misc,"Setting the JAVA_HOME environment variable is a one-time setup, not understanding that it needs to be set in every new terminal session unless configured in shell startup files"
Control Flow,Setting the window size with setSize() is unnecessary if the components are added to the panel
Methods,Simply adding new methods to a class is always the best way to extend functionality
Control Flow,"Temporary variables are always necessary for recursion, not realizing that some recursive solutions can be simplified without them"
Methods,"The 'add' method in the GreetingPanel class is unique to that class, not realizing it's inherited from JPanel"
Loops,"The 'final' keyword can only be applied to variables, not realizing it can also be used for methods and classes to prevent overriding and inheritance"
Methods,The 'grapefruit' method returns the value of the element instead of its index
Data Types,"The 'implements' keyword is used to inherit methods from another class, similar to 'extends', rather than to fulfill a contract defined by an interface"
Loops,"The 'indexOfMax' method can be implemented using an enhanced for loop, not realizing that it requires access to the index"
Loops,"The 'setDefaultCloseOperation' method is unnecessary for closing the window, not understanding its role in defining the window's close behavior"
Misc,"The * wildcard in Java is used to compile files, when it actually indicates that all files with names ending in .java should be compiled"
Loops,"The -d option in the javac command is optional when compiling Java files for packages, not realizing its importance for placing compiled files in the correct directory structure"
Objects & Classes,"The .class files are the only files needed to run a Java program, not realizing that additional resources or dependencies might be required"
Control Flow,"The @Override annotation is optional and does not affect the behavior of the method, not realizing it helps catch errors at compile time if the method does not actually override a method in the superclass"
Loops,"The ActionEvent object is created and passed to the actionPerformed method before the event occurs, rather than at the time of the event"
Loops,"The ActionListener interface contains multiple methods, when it actually contains only one method: actionPerformed"
Data Types,"The ActionListener interface is part of the javax.swing package, when it is actually in the java.awt.event package"
Loops,The ActionListener interface is the only interface available for handling events in Java GUI applications
GUI,"The BorderLayout manager can only be used with JPanels, not realizing it can manage any component that can be added to a container"
Misc,"The ButtonGroup automatically adds the radio buttons to the panel, but it only groups them logically"
Loops,"The ButtonGroup is only necessary for visual grouping of radio buttons, rather than understanding its role in ensuring only one button is selected at a time"
Loops,"The CLASSPATH environment variable is only necessary for advanced Java programming, not realizing its importance when encountering NoClassDefFoundError"
Loops,The CheckBoxListener class is not required for handling check box events
Misc,"The Collatz conjecture has been proven or disproven, when in fact it remains an open question"
GUI,"The FlowLayout manager only aligns components in the center of each row by default, without realizing it can also align components to the left or right"
JShell & Tools,The JVM automatically knows how to execute a program without needing the java command or an IDE to initiate execution
Misc,The Latin translator application should translate full sentences instead of single words
Data Types,The ListSelectionListener interface can be implemented without defining the valueChanged method
Loops,The PATH environment variable is only important during installation and not realize its ongoing importance for running Java commands
Control Flow,"The Painter app's capabilities differ across operating systems, when in fact they are identical"
Loops,"The ToppingPanel class should have an event listener for each JCheckBox to update the cost in real-time, not understanding the design choice to calculate the cost only when needed"
Control Flow,"The absence of an explicit access specifier means the member is public, not realizing it defaults to package-private"
Control Flow,"The accuracy of floating-point calculations is consistent across different magnitudes of values, not realizing that precision can vary with the size of the numbers involved"
Loops,The actionPerformed method automatically knows which button was clicked without using methods like getSource or getActionCommand
Methods,"The addActionListener method can only accept objects that are stored in variables, rather than directly passing a newly created object"
Loops,"The application is only ready for more input after a message is printed to the console, rather than immediately after processing the current input"
Objects & Classes,The assignment of an object to a reference variable is part of the object creation process rather than a separate step
Control Flow,"The automatic toString() method displays all data field values of an object, not understanding that it needs to be overridden to provide specific details"
Methods,"The call to super() is optional and can be placed anywhere in the constructor, not understanding it must be the first statement"
Loops,The class hierarchy must strictly follow biological taxonomy without considering practical design needs for code reuse and abstraction
Loops,"The condition in a do-while loop is checked before the loop body executes, similar to a while loop, rather than after"
Loops,"The condition in a while loop is checked only once, not realizing it is evaluated before each iteration"
Loops,"The constants WINDOW_WIDTH and WINDOW_HEIGHT are special or unique to GUI programming, rather than understanding they are just regular constants used for convenience"
Data Types,"The constructor Boo(String, String) exists when it does not"
Loops,"The constructor of the MetricConverter class is responsible for creating all components, but the buildPanel method is used for that purpose"
Java Versions,The conversion factor is a fixed part of the Java language rather than a constant defined in the program
Loops,"The default close operation for a JFrame is EXIT_ON_CLOSE, when it is actually HIDE_ON_CLOSE"
Loops,"The default selection mode for JList is single selection mode, when it is actually multiple interval selection mode"
Misc,"The default selection of a radio button (e.g., whiteBagel) means it cannot be changed by the user, when in fact it can be changed by selecting another option"
Methods,"The equals() method is static because it is used to compare two objects, not realizing that it is an instance method that compares the calling object with the passed object"
Methods,"The execution of the superclass constructor is always visible or produces output, not understanding that it can be transparent unless explicitly coded to display a message"
Misc,"The final keyword in Java means the variable cannot be changed, but they might not understand that it also implies the variable should be initialized at the time of declaration"
Loops,"The finalize() method is a reliable way to manage resource cleanup, not understanding that its execution is not guaranteed and should not be relied upon for critical resource management"
Control Flow,"The format specifier %4d will always align numbers vertically regardless of the number of digits, without considering that it only ensures a minimum width of 4 characters"
Collections & Generics,The index of the first element in an array is 1 instead of 0
Misc,"The index of the selected item directly corresponds to the position in the list, not realizing that the index is zero-based"
Methods,"The initial return statement in a stub method is the final return value, rather than a placeholder"
Control Flow,"The isSelected method can be used on any component, but it is specific to components like check boxes and radio buttons"
Methods,The isSelected method is not applicable to JCheckBox components
GUI,"The kernel is the entirety of the operating system, rather than just the core component"
Methods,"The keyword 'super' can only be used to call constructors, not methods"
Methods,"The keyword this can be used outside of constructors to call other constructors, but it cannot"
Control Flow,"The lambda operator is always composed of two characters, a minus sign and a greater-than sign, without realizing that this is specific to Java and may differ in other languages"
Data Types,"The length of a string can be used directly as an index to access the last character, not realizing that indices start at 0, so they need to subtract 1 from the length"
Data Types,The length of a string is a method of the String class that needs to be implemented rather than an existing method
Loops,"The loop variable 'i' in the multiplication table example is intrinsically linked to the number 6, not understanding that it can be adjusted to change the range of the loop"
Data Types,"The maximum price constraint in the setPrice() method is a built-in feature of Java, rather than a custom implementation in the method"
Data Types,The order of arguments in overloaded constructors doesn't matter as long as the types are the same
Methods,"The process of creating new classes by inheritance is the only way to customize classes, not realizing other methods exist"
Loops,The setForeground method changes the background color instead of the text color
Loops,The setTitle method is responsible for making the window visible
Objects & Classes,The size of a class or saying class names together can determine base and subclass relationships
Java Versions,"The splash screen will always display in the center of the screen, not realizing that this behavior could depend on the system or Java version"
Loops,"The stack holds the actual objects for non-primitive variables, rather than just references to those objects"
Control Flow,"The term 'machine language' refers to any low-level language, not realizing it is specific to a computer's hardware"
Data Types,"The toString() method is automatically called when printing an object, without realizing it needs to be explicitly called or implicitly used in a print statement"
Data Types,"The toString() method is the only way to access an object's attributes, not realizing that other getter methods like getAcctNum() and getBalance() can also be used"
Collections & Generics,"The variable name and the array it refers to are the same entity, not understanding that the variable is a reference to the array"
Misc,"They have no control over memory management at all, not realizing that they can influence it through good programming practices"
Data Types,"They need to alter the nextInt() method in the Scanner class to handle non-integer input, rather than handling exceptions in their own code"
Objects & Classes,They need to manually create Border objects instead of using the BorderFactory class
Methods,"They need to redefine methods from the parent class in the subclass, even though they can be directly used from the parent class"
Methods,"They should always examine the implementation of methods they use, rather than trusting that library methods or previously tested methods work correctly"
Loops,Understanding the stack and heap is not important for Java programming
Control Flow,"Using 'if-else' is the only way to handle multiple object types, not realizing that a 'switch' statement can be more efficient for multiple conditions"
Loops,"Using 'implements' allows a class to inherit fields and methods like 'extends', but 'implements' only requires the class to provide implementations for the interface's methods"
Methods,"Using Math.pow and factorial is necessary in the myexp method, not realizing that there are more efficient ways to compute the series"
Methods,"Using Object references allows them to call any method on the object, not understanding that only methods declared in class Object can be called"
Methods,"Using a void method in an expression is valid, not realizing it will cause a compilation error"
Control Flow,"Using generics like ArrayList<Dog> eliminates all runtime errors, without understanding that it primarily shifts potential errors to compile time"
Control Flow,"Using methods like moveRect and translate are fundamentally different in terms of how they affect the object, rather than just being different syntactic approaches"
Data Types,"Using the dot operator on a null reference is a compile-time error, rather than a runtime error that results in a NullPointerException"
Loops,Value methods must always use temporary variables to store return values before returning them
Data Types,"Variables in an abstract class have the same restrictions as those in an interface, such as being public, static, and final"
Methods,"When you pass an object to a method, the method receives a copy of the object, rather than a reference to the original object"
Control Flow,"Writing a lot of code before compiling is efficient, not realizing that incremental development helps in identifying errors more easily"
Objects & Classes,"They can instantiate an abstract class object, but abstract classes cannot be instantiated"
Methods,They need to understand every detail of a class's source code to use its methods
Data Types,You can assign a superclass reference to an array of its subclass type
Objects & Classes,Subclass creators do not need to test their subclass code because the superclass code is already tested and reliable
Control Flow,Subclassing can always be used to change the way a method of a class works if you don't have access to the source code
Objects & Classes,Superclass objects are members of their subclass
Loops,"System.out.printf displays the result on the screen; String.format creates a new string, but does not display anything"
Loops,The @Override annotation is necessary for a method to override a parent class method
GUI,The Android operating system is entirely free and open source without any proprietary components
Methods,"The Hippo() constructor is invoked first, but it’s the Animal constructor that finishes first"
Methods,The JScrollPane constructor automatically configures the scroll pane to display the correct number of items in a JList
Control Flow,The Object class equals() method considers two object references to be equal if they have the same value in all data fields
Loops,The analogy of a child being born before parents might lead students to incorrectly assume that subclass objects can exist independently of superclass objects
Loops,The assumption that adding methods to a superclass automatically makes them available for polymorphic use in subclasses
Data Types,The belief that you can use polymorphism with methods that are not part of a contract or interface
Control Flow,The compiler automatically makes a class extend Object if it doesn't explicitly extend another class
Methods,The compiler will put a call to super() in each of your overloaded constructors
Loops,The default layout manager for a JFrame object’s content pane is the same as for a JPanel object
Loops,The enhanced for loop can be used for search operations where the index is needed
Control Flow,The enhanced for loop can be used to modify the structure of an array
Loops,The enhanced for loop is always better than the traditional for loop for all array operations
Methods,The equals method does the same thing as == by default
Control Flow,The equals() method considers two objects to be equal only if they have the same hash code
Loops,The equals() method in Figure 11-25 correctly follows all recommendations for overriding equals()
Methods,The final keyword only applies to variables and not to methods
Objects & Classes,The idea that a class can extend from two superclasses directly in Java
Control Flow,The inherited equals() method returns true only if they have the same memory address
Methods,"The keyword 'super' is used to access overridden methods in the parent class, and it is the only way to access the parent class methods"
Misc,The keyword 'this' can be replaced with any variable name like 'that'
Methods,"The keyword super lets you invoke a superclass version of an overridden method, from within the subclass"
Loops,"The makeNoise() method can be generalized for all animals by playing a sound file, ignoring the need for unique behaviors"
Methods,The method in Figure 11-24 works correctly to compare BankAccount objects in most programs you will write
Objects & Classes,The misconception that Java allows multiple inheritance of classes
Objects & Classes,"The misconception that making a class final is common practice, when it is typically not"
Objects & Classes,The misunderstanding that Java's lack of multiple inheritance is a limitation rather than a design choice to avoid complexity
Misc,"The number of items displayed at a time in a JList is determined by the JScrollPane, not by the JList itself"
Methods,The only way to call a super constructor is by calling super()
Data Types,"The output of a method is determined solely by the method name, not by the object type or class hierarchy"
Misc,The playful language used might lead students to misunderstand the seriousness of garbage collection and its impact on memory management
Control Flow,The return value from compareTo is the difference between the first characters in the strings that differ
Control Flow,"The scroll pane's scroll bars will always be visible, even if the component's content fits within the visible area"
Data Types,The text might lead students to believe that procedural programming is no longer relevant in Java after the introduction of functional programming in Java SE 8
Data Types,"The type of object (e.g., A, B, C) does not affect which method implementation is executed"
Loops,"The uppercase letters come before the lowercase letters, so 'Ada' comes before 'ada'"
Methods,"The version of a method to be used is determined at compile time, not at runtime"
Objects & Classes,There are no practical limits on the levels of subclassing
Loops,"There could be a misconception that Java Enterprise Edition (Java EE) is only for web-based applications, ignoring its use in large-scale, distributed networking applications"
Control Flow,"There could be a misconception that the BorderLayout manager only allows a specific type of component to be added to each region, rather than understanding that any component can be added to any region"
Control Flow,"There could be a misconception that using 'sudo update-alternatives --config java' is applicable for all Linux distributions, not realizing that this command is specific to systems that use the alternatives system"
Methods,"There could be confusion about whether abstract superclasses should have constructors, not understanding that they do have constructors even though they cannot be instantiated directly"
Objects & Classes,There is more than one object on the heap when an object is created
GUI,"There may be a misconception that a JPanel can only hold visual components, without understanding that it can also encapsulate related code such as event listeners"
Control Flow,"There may be a misconception that if an object is referenced by multiple variables, nulling one of them will make the object eligible for garbage collection, without considering other references"
GUI,"There may be confusion about the necessity of calling setVisible(true) after adding components, with students potentially thinking that components will automatically be visible once added"
Control Flow,"There might be a misconception that all subclasses must implement methods from the superclass, even if those methods are not relevant to the subclass"
Data Types,"There might be a misconception that constructors can have return types, whereas they should not have any return type"
Control Flow,"There might be a misconception that if a superclass constructor has arguments, you cannot pass arguments to super(), leading to confusion about extending classes without no-arg constructors"
Loops,"There might be a misconception that recursive methods are inherently more complex and harder to understand than iterative methods, leading to avoidance of recursion"
Objects & Classes,"There might be confusion about the role of event objects and event sources, leading students to think that event objects automatically know what to do without being explicitly handled by an event listener"
Methods,"There might be confusion about whether abstract classes can have concrete methods, as the focus is on abstract methods having no body"
Methods,Thinking that 'private' methods can be overridden in subclasses
Loops,"Using 'true' as a condition in a while loop means the loop will run forever, without any way to exit"
Loops,Using break and continue statements is the only way to control loop execution effectively
Loops,Using multiple inheritance in Java is straightforward and does not introduce any additional complexity
Methods,Using the final keyword with methods does not impact program efficiency
Misc,Wine is probably abstract
Objects & Classes,"Without first making an object, you cannot run code from that class"
Objects & Classes,You can create an abstract class object using the new operator
Objects & Classes,You can extend any class unless it is private
Methods,You can implement the equals() method in any way that suits your needs
Objects & Classes,You can instantiate concrete objects from an abstract class
Control Flow,You can modify the array elements directly using the enhanced for loop
Data Types,"You cannot create a Number object, but you can create objects from its subclasses, including Double, Float, and Integer"
Data Types,You cannot override the toString() method in any class you create
GUI,You do not have to place a component in every region of a BorderLayout to achieve desired positioning
Objects & Classes,"You don’t make an instance of a generic Component and put it on the screen, you make a JButton"
Control Flow,"You might think that somewhere in, say, a Duck constructor, if Duck extends Animal you’d call Animal()"
Objects & Classes,You normally add JCheckBox components to a ButtonGroup object
Data Types,AnotherThing is the same type as thing
Loops,"CompareTo returns positive 8, because the second letter of 'Ada' comes before the second letter of 'Alan' by 8 letters"
Objects & Classes,Thing is an object of the Object class
Library Usage,It's better to write utility functions like HTML escaping from scratch instead of using external libraries.
Switch Statements,"In a switch-case block, each case stops automatically even without a break statement."
Resource Management,"Java will automatically close file and network resources, so calling close() is unnecessary."
Memory Management,"Java has garbage collection, so memory leaks are not possible."
String Handling,"Using string concatenation in a loop is efficient enough, no need for StringBuilder."
Null Safety,Returning null from a method is fine and doesn't require any special handling.
Exception Handling,"It's acceptable to ignore exceptions silently, especially if the exception seems unimportant."
Concurrency,Modifying a collection while iterating over it using a for-each loop is safe and won't cause issues.
Object Contracts,Overriding hashCode to return random values is fine if equals is correctly implemented.
Generics,Using raw types is just as safe as using parameterised types in collections.
